time,x,y,linear,angular
1777058063.0017865,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058063.201829,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058063.4018621,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058063.6016903,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058063.801854,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058064.0021665,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058064.2018745,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058064.401669,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058064.601919,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058064.802399,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058065.001755,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058065.2016418,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058065.40169,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058065.6019053,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058065.801777,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058066.001854,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058066.20575,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058066.4018419,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058066.601637,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058066.8020668,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058067.0018704,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058067.2016084,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058067.4023685,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058067.601775,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058067.8019536,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058068.0016868,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058068.2016058,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058068.4018242,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058068.6018474,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058068.8139858,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058069.0021057,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058069.201971,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058069.4018316,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058069.6016283,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058069.8016922,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058070.001692,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058070.2018929,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058070.401956,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058070.6017237,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058070.801635,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058071.0016615,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058071.202088,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058071.4023366,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058071.60188,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058071.8016825,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058072.0016325,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058072.201775,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058072.4017065,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058072.6016128,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058072.801741,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058073.0016155,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058073.2017446,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058073.4016335,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058073.601723,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058073.8017251,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058074.0018415,0.041558523929945176,0.05815191724152665,0.0,0.0
1777058074.2019722,0.041558523929945176,0.05815191724152665,0.0,0.64
1777058074.4018369,0.041558523929945176,0.05815191724152665,0.0,1.0
1777058074.6018922,0.041558523929945176,0.05815191724152665,0.0,1.0
1777058074.8016267,0.09906694769948751,0.07326668625061519,0.0,1.0
